hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
256,0.28255489119591237,87,301,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7975378513336181,0.7878701686859131,0.8200957775115967
256,0.2405140281709767,82,294,1,96,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7981469810009002,0.8592442870140076,0.6555866003036499
256,0.1152667609739286,83,300,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8225041806697845,0.8282045722007751,0.8092032670974731
256,0.2404117092049919,83,298,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8224670946598053,0.8370170593261719,0.78851717710495
256,0.12014043758927384,75,231,1,32,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.836097377538681,0.8446841835975647,0.8160614967346191
256,0.19111810141416907,74,235,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.870053344964981,0.8979713320732117,0.8049113750457764
256,0.1218677187621423,76,232,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8451578497886657,0.8520288467407227,0.8291255235671997
256,0.11035068241058556,77,233,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8243748068809509,0.8138942718505859,0.8488293886184692
256,0.15547384208820028,78,322,1,32,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8244829535484314,0.8529222011566162,0.7581247091293335
256,0.1205369204037689,77,235,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8537289381027221,0.8712574243545532,0.8128291368484497
256,0.23974533142619323,83,296,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.847666835784912,0.8467174768447876,0.8498820066452026
256,0.16648199149432083,75,319,1,32,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8340487718582152,0.8515779376029968,0.7931473851203918
128,0.1923273320984586,67,208,1,64,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8097991287708282,0.8291061520576477,0.7647494077682495
128,0.19101340341584752,66,184,1,64,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.7923521637916564,0.8176883459091187,0.7332344055175781
128,0.19174365290684622,67,264,1,64,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8286635875701904,0.8661662340164185,0.7411574125289917
128,0.1881993229745807,70,207,1,64,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.7609664916992187,0.7939618825912476,0.6839772462844849
256,0.44964954767195114,69,170,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8594137251377105,0.8683969974517822,0.8384527564048767
256,0.16350662788853287,66,207,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8546381771564483,0.864250123500824,0.8322103023529053
256,0.19310149067199825,65,208,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8618174374103547,0.8764150738716125,0.8277562856674194
128,0.44735329309196403,111,175,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8555350959300995,0.8714655041694641,0.818364143371582
128,0.14604553879758256,106,173,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8482768356800079,0.8552244901657104,0.8320656418800354
256,0.1570071599048591,66,322,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8430932641029357,0.8571783304214478,0.8102281093597412
256,0.15649090778028246,66,317,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.855136638879776,0.8686995506286621,0.8234898447990417
