number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
16,-1000000000.0,2026-02-24 16:50:15.277090,2026-02-24 16:50:15.282578,0 days 00:00:00.005488,32,64,128,1,0.3726563108160001,"((0.5, 0.25), (0.01, 0.005, 0.001))",110,318,COMPLETE
29,-1000000000.0,2026-02-24 16:50:15.342264,2026-02-24 16:50:15.352441,0 days 00:00:00.010177,128,96,64,1,0.33556997432158997,"((0.7, 0.2), (0.01, 0.002, 0.0005))",111,298,COMPLETE
28,-1000000000.0,2026-02-24 16:50:15.331485,2026-02-24 16:50:15.341187,0 days 00:00:00.009702,32,64,128,1,0.47418817740122154,"((0.5, 0.25), (0.01, 0.005, 0.001))",86,152,COMPLETE
27,-1000000000.0,2026-02-24 16:50:15.329401,2026-02-24 16:50:15.340680,0 days 00:00:00.011279,32,64,128,1,0.4692414824752341,"((0.5, 0.25), (0.01, 0.005, 0.001))",83,276,COMPLETE
26,-1000000000.0,2026-02-24 16:50:15.323770,2026-02-24 16:50:15.330093,0 days 00:00:00.006323,64,32,128,1,0.5635192968197638,"((0.5, 0.25), (0.01, 0.005, 0.001))",79,272,COMPLETE
25,-1000000000.0,2026-02-24 16:50:15.315097,2026-02-24 16:50:15.327890,0 days 00:00:00.012793,64,32,256,1,0.5553389713105956,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",130,194,COMPLETE
24,-1000000000.0,2026-02-24 16:50:15.306462,2026-02-24 16:50:15.318686,0 days 00:00:00.012224,64,32,256,1,0.418933113567903,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",130,203,COMPLETE
23,-1000000000.0,2026-02-24 16:50:15.301019,2026-02-24 16:50:15.306012,0 days 00:00:00.004993,64,32,128,1,0.5135460528250011,"((0.5, 0.25), (0.01, 0.005, 0.001))",115,160,COMPLETE
22,-1000000000.0,2026-02-24 16:50:15.297536,2026-02-24 16:50:15.305544,0 days 00:00:00.008008,64,32,128,1,0.5020301517922737,"((0.5, 0.25), (0.01, 0.005, 0.001))",99,127,COMPLETE
21,-1000000000.0,2026-02-24 16:50:15.294589,2026-02-24 16:50:15.297940,0 days 00:00:00.003351,64,32,128,1,0.5208819715101388,"((0.5, 0.25), (0.01, 0.005, 0.001))",99,132,COMPLETE
20,-1000000000.0,2026-02-24 16:50:15.290634,2026-02-24 16:50:15.294369,0 days 00:00:00.003735,128,96,64,1,0.26860812027104675,"((0.7, 0.2), (0.01, 0.002, 0.0005))",76,125,COMPLETE
19,-1000000000.0,2026-02-24 16:50:15.287742,2026-02-24 16:50:15.293763,0 days 00:00:00.006021,64,32,64,1,0.3036328535516465,"((0.7, 0.2), (0.01, 0.002, 0.0005))",150,375,COMPLETE
18,-1000000000.0,2026-02-24 16:50:15.283593,2026-02-24 16:50:15.288044,0 days 00:00:00.004451,32,64,128,1,0.29609901407336503,"((0.5, 0.25), (0.01, 0.005, 0.001))",60,377,COMPLETE
17,-1000000000.0,2026-02-24 16:50:15.279380,2026-02-24 16:50:15.283811,0 days 00:00:00.004431,32,64,128,1,0.3646997129809973,"((0.5, 0.25), (0.01, 0.005, 0.001))",62,320,COMPLETE
15,-1000000000.0,2026-02-24 16:50:15.273490,2026-02-24 16:50:15.276420,0 days 00:00:00.002930,32,64,256,1,0.4496553284717999,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",123,170,COMPLETE
31,-1000000000.0,2026-02-24 16:50:15.353930,2026-02-24 16:50:15.363154,0 days 00:00:00.009224,32,32,128,1,0.5578181689750225,"((0.5, 0.25), (0.01, 0.005, 0.001))",142,297,COMPLETE
14,-1000000000.0,2026-02-24 16:50:15.270322,2026-02-24 16:50:15.276279,0 days 00:00:00.005957,32,64,64,1,0.4399694147736069,"((0.7, 0.2), (0.01, 0.002, 0.0005))",87,234,COMPLETE
13,-1000000000.0,2026-02-24 16:50:15.266158,2026-02-24 16:50:15.271341,0 days 00:00:00.005183,32,64,64,1,0.31968863705351713,"((0.7, 0.2), (0.01, 0.002, 0.0005))",90,226,COMPLETE
12,-1000000000.0,2026-02-24 16:50:15.262835,2026-02-24 16:50:15.267734,0 days 00:00:00.004899,32,64,64,1,0.3081767637193897,"((0.7, 0.2), (0.01, 0.002, 0.0005))",79,201,COMPLETE
11,-1000000000.0,2026-02-24 16:50:15.257046,2026-02-24 16:50:15.262250,0 days 00:00:00.005204,32,64,64,1,0.2349961953046152,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",122,399,COMPLETE
10,-1000000000.0,2026-02-24 16:50:15.255430,2026-02-24 16:50:15.262048,0 days 00:00:00.006618,32,64,64,1,0.23662344830876395,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",121,347,COMPLETE
9,-1000000000.0,2026-02-24 16:50:15.254568,2026-02-24 16:50:15.255213,0 days 00:00:00.000645,64,32,128,1,0.4142281805396922,"((0.7, 0.2), (0.01, 0.002, 0.0005))",68,257,COMPLETE
8,-1000000000.0,2026-02-24 16:50:15.253349,2026-02-24 16:50:15.253972,0 days 00:00:00.000623,32,96,128,1,0.35355978601634086,"((0.5, 0.25), (0.01, 0.005, 0.001))",143,149,COMPLETE
7,-1000000000.0,2026-02-24 16:50:15.252363,2026-02-24 16:50:15.253795,0 days 00:00:00.001432,64,96,128,1,0.5926740736502042,"((0.5, 0.25), (0.01, 0.005, 0.001))",70,220,COMPLETE
6,-1000000000.0,2026-02-24 16:50:15.250879,2026-02-24 16:50:15.251863,0 days 00:00:00.000984,128,64,64,1,0.3881811401040792,"((0.5, 0.25), (0.01, 0.005, 0.001))",94,183,COMPLETE
5,-1000000000.0,2026-02-24 16:50:15.249854,2026-02-24 16:50:15.250350,0 days 00:00:00.000496,128,96,256,1,0.47929889698265843,"((0.7, 0.2), (0.01, 0.002, 0.0005))",106,317,COMPLETE
4,-1000000000.0,2026-02-24 16:50:15.249071,2026-02-24 16:50:15.250244,0 days 00:00:00.001173,128,64,256,1,0.5238766473975697,"((0.7, 0.2), (0.01, 0.002, 0.0005))",134,265,COMPLETE
