hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H
256,0.4,90,336,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.1959085833690033,220351.7455259804,469.4163882162407,0.25090856396364025,0.5590949454678691,1.3191338738639669,0.18489321540057585,0.4853211846368533,-67.01376955414221,1.633978223471437,-1992.2874755813841,0.6666666666666666,66.84003413846959,0.48267649404432056,198569.8429748973,445.611762608324,0.42840588099106214,0.4985888358614044,1.0695482960135463,0.034615645432893666,0.7345386734675007,-43.471889709551895,-55.17657460404129,97.96578131730944,,59.73945258243704
256,0.4,120,168,1,1,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",{0: 0.001},0.2324590042101915,112859.55202638816,335.9457575656942,0.24633701506052552,0.45190616892375096,0.9683642343994766,-0.021578018159435546,0.48366655585861246,-70.87933130866189,-9.368037192154372,-1974.3421760830922,2.0,83.27577899884248,0.4803369225603381,102044.16233277076,319.4435197852208,0.43518728574300924,0.5928439622865843,0.7215218864736649,-0.16639883802323543,0.724886744363936,-50.45903818159826,-29.54617997170606,21.251979154558533,,69.6414716542085
256,0.4,90,168,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.18876034064761138,222310.63692629104,471.4982894203234,0.20949937169647936,0.4507635304884937,0.9197569731404586,-0.04648955333353146,0.43715757040960734,-74.78195778919653,28.773845236736236,-1813.2309262030112,0.6666666666666666,76.5922784964279,0.48010519361838766,198674.26879289738,445.7289185064139,0.4061003241602552,0.49509328796006674,0.8263645190648553,-0.08628745967040832,0.7399293233369074,-47.43134659302388,-33.566758721596464,-2.960712900691705,,63.98320556170959
256,0.4,120,168,1,1,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",{0: 0.001},0.18657256535153466,119606.71336640924,345.8420352797057,0.19165128860613334,0.47728308502812283,0.6459302386947308,-0.24150272939895925,0.49519382913474824,-75.62705400207169,104.38978091667657,-281.16200244529756,0.6666666666666666,82.9501075406172,0.4715864479564411,103762.45807040193,322.1218062634101,0.3645792300537839,0.4064671723158338,0.9252043072916964,-0.044692619460120354,0.7857946273022899,-58.30149952828631,-54.96917823435707,96.59614250236615,,73.83340609893455
256,0.4,120,336,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.1919674422932559,118813.44838353542,344.6932670992217,0.1606362459037235,0.3718237662903286,1.0527864257466162,0.036004390338299115,0.4457981194999212,-76.86174514970573,-14.257554858471485,48.77055624821742,0.6666666666666666,78.16405443591479,0.46415774860199766,105688.15112521539,325.0971410597383,0.6146718304869229,0.8138620822902504,1.148239612060555,0.08871101883875701,0.696923291513331,-48.312490226011725,5.407014281921509,-0.8989244532190003,,61.92231086910205
64,0.4,120,168,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.2080214410144836,116452.86163462105,341.25190348864146,0.2708617887813016,0.5151226525892327,1.0922458546862077,0.06291874686031658,0.4633183519810722,-69.09361602119573,1.3869652666649304,-168.35269577115776,1.0,72.2031015203518,0.45772720997848193,106483.94126100936,326.3187724618511,0.4008468582320881,0.501818797899359,0.822942647624179,-0.10579695950152643,0.7181300457062083,-58.2260059737415,-32.4562275182056,2.447642784824845,,71.75679796874222
128,0.4,90,336,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.17134243143283256,227083.80900536934,476.5331142799725,0.23392691522215403,0.54627509639148,1.2919393988151087,0.16913784016561287,0.4561497720089134,-68.82157235580735,8.074563581925995,-207.89050929082697,0.3333333333333333,66.67251464965389,0.45312598325908937,209912.53322364483,458.1621254792291,0.4173229253191164,0.49820649546990986,1.0044935367219765,0.0022365274611089126,0.7038654692579559,-49.00622450254884,-37.27364614155933,96.64389071280812,,62.92719798665569
128,0.4,90,168,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.06787446006855669,255437.98320073093,505.40872885292646,0.11754077614816305,0.5195493047291818,1.3989473672632873,0.23113391447861623,0.37650789152655234,-70.32584805229497,-9.61486914828323,7.208977674821056,0.3333333333333333,68.34598535638419,0.4506557803196455,209928.1620453197,458.1791811565861,0.4763275605241929,0.5896883685809261,1.0419361477239362,0.02084000134058439,0.6773259407655503,-48.78558461459887,-2.8912268850134626,93.91841427000678,,58.92978719109777
256,0.4,90,168,1,1,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",{0: 0.001},0.09563311655539275,247831.05159591642,497.82632674047727,0.08834094287478045,0.3996846961324113,1.1329900001408748,0.07704900907087849,0.3269045890489676,-70.57129521608366,-28.127458301970737,42.99307498014078,0.6666666666666666,79.9367821904573,0.43483366769907195,215974.47490912618,464.7305401080568,0.3804300446301748,0.5030871421395048,0.791308394015155,-0.10370846118539626,0.6943983722534374,-52.11890203575522,6.541690113542765,3.8177349187579384,,66.65231516241874
128,0.4,90,168,1,1,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",{0: 0.001},0.15014406952028603,232892.969447962,482.5898563459058,0.1487682370208666,0.41495381477065674,1.1274766311405862,0.07385478681608977,0.39496596462165584,-75.94229165219836,-7.4762884736096265,-1996.358857476048,0.6666666666666666,76.27288327943097,0.42659313582959313,219123.53818796098,468.10633213828777,0.4085067600063499,0.5073490405048481,0.9665601984008503,-0.016617776023270484,0.6743605295181472,-57.68983234990499,-8.918071009605695,1.5310865826292244,,65.51702664188086
