hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H
128,0.4,120,336,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7812779396772385,37454.3671875,193.53130802921785,0.7254218717483409,0.7492137452217406,0.9571865797042847,-0.03276119344647811,0.8967216674657219,-24.39315617084503,-17.57013278016053,-540.1615233607235,0.4,53.7320613861084,0.7593408226966858,52566.49609375,229.2738452020858,0.7472078245170626,0.7850074608718864,0.9497300386428833,-0.03406195566520862,0.8768942605326756,-21.07734978199005,-23.65735881171514,-1404.1371658374223,,47.415414452552795
64,0.4,90,168,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7378586530685425,44889.5625,211.87157076870884,0.7675750366555725,0.814374328809145,1.0050498247146606,0.003864127150631563,0.8602181233100862,-13.833360373973846,-30.61179888846302,-2131.4589565511733,0.6,60.186662673950195,0.7590951323509216,52620.1640625,229.39085435670708,0.8671836998364173,0.959641097193495,1.0223321914672852,0.01513187055145677,0.8754504043456323,-2.8526661917567253,-20.923214750401918,-1404.5058210223283,,39.570534229278564
256,0.4,120,168,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7474482357501984,43247.42578125,207.960154311469,0.6577702151635817,0.6893215811910659,0.9072368144989014,-0.07098313890400294,0.8904776866056489,-30.56134581565857,-24.804022878016404,37.05367102508896,0.4,64.11499977111816,0.7563781589269638,53213.625,230.6807859358902,0.7389189147502813,0.7705034893582344,1.0122829675674438,0.008322731224996023,0.8761298527240641,-23.797178268432617,-20.92634507087646,-257.9033956672117,,41.90157949924469
128,0.4,120,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7641432583332062,40388.5390625,200.9690002525265,0.7687190405043809,0.8070488812047681,0.9649715423583984,-0.02680404966012171,0.8773877855345029,-19.494490325450897,-13.873938145248966,-2103.449994464979,0.4,59.433431625366204,0.7559608221054077,53304.78125,230.8782823264241,0.7955918265119352,0.8482030569071376,0.9563754200935364,-0.02955918301036843,0.8702414338689978,-15.199127793312073,-18.827236144856105,48.22535168218109,,46.013784408569336
128,0.4,120,168,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7901526093482971,35934.65234375,189.56437519679164,0.7505425210040586,0.7814733845954389,0.9365158081054688,-0.04857862038927558,0.8977996596564575,-21.645523607730865,-18.352788672300633,-264.2432408949242,0.4,50.550546646118164,0.75412817299366,53705.08203125,231.74356955749602,0.795373775217719,0.8446598936802903,0.9765211343765259,-0.015908843372883487,0.8688890313274107,-16.048945486545563,-21.995234989012932,-213.14234522062304,,45.799797773361206
128,0.4,90,336,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7911108732223511,35770.55859375,189.13106194845415,0.8143719643163183,0.8510972905755475,0.9834441542625427,-0.012668646727317271,0.8904023050892184,-14.63397741317749,-18.437033934191536,-2113.280512817402,0.4,49.27359104156494,0.753893256187439,53756.39453125,231.85425277801139,0.8412885785851674,0.9107016693390684,0.9885749816894531,-0.007741389176995179,0.8692919574575031,-10.326827317476273,-19.318925507198877,-1400.8456817245087,,43.22727620601654
128,0.4,120,168,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.765033945441246,40236.01953125,200.58918099252014,0.7714629156038286,0.8144543444199326,0.9461387991905212,-0.04121504553072622,0.8779304309542023,-18.27375441789627,-8.917773492874717,-92.67539344271223,0.4,61.79816722869873,0.7536326348781586,53813.3203125,231.9769822902695,0.8127205840782716,0.8716976859413039,0.9637672305107117,-0.024550617307812356,0.8684732641235877,-13.69778960943222,-17.824693750923963,-1397.2771059376603,,44.955870509147644
64,0.4,120,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7671726644039154,39869.77734375,199.6741779593696,0.7883228544779278,0.8277689420549809,0.9904064536094666,-0.007341081991000788,0.8773148726081084,-17.21128225326538,-21.01060179306094,-2109.262940288923,0.4,50.251402854919434,0.7536302655935287,53813.8359375,231.978093658647,0.8392539477846687,0.9069145553213268,1.0001864433288574,0.00012635031594761693,0.8689490231601732,-9.538686275482178,-20.93375095102355,-58.594023874144966,,41.89103841781616
64,0.4,90,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7392532229423523,44650.7578125,211.30725925178245,0.725453484117615,0.7627610149784798,0.9645184874534607,-0.027150734808796612,0.8664540691876935,-21.749822795391083,-19.659195768083237,-12.96826277984804,0.4,60.98223686218262,0.7497327625751495,54665.15625,233.80580884571708,0.7941281892720325,0.8442291272542921,1.0147737264633179,0.010010405781059127,0.8662077182239588,-13.119679689407349,-18.92293996716925,2.794728054485311,,44.86869275569916
256,0.4,120,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7677359282970428,39773.32421875,199.4325054216338,0.7378366819653811,0.7654662063470595,0.981336772441864,-0.014281274709889944,0.88434884827727,-25.933855772018433,-9.699407542215605,-2117.1790580210704,0.4,52.41675853729249,0.7497318685054779,54665.3515625,233.80622652636947,0.7186738290588208,0.7535752895087316,0.9469144344329834,-0.03596974749003628,0.8750952393055008,-24.369274079799652,-19.586682431692065,-1402.2106503574635,,46.59298360347748
64,0.4,120,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7651501446962357,40216.12109375,200.53957488174248,0.7282680375287832,0.7585700406508802,0.9530612230300903,-0.0359179383494837,0.8844725773951907,-23.89005571603775,-17.59995545148579,-2103.9689820680783,0.4,58.58256816864014,0.7491692006587982,54788.25390625,234.06890845699692,0.7247383112859678,0.7608476480296794,0.9492092728614807,-0.0344148223873693,0.8735268729828145,-22.591784596443176,-21.622955900381974,-34.59197810445301,,48.788779973983765
64,0.4,120,336,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7789672762155533,37850.05078125,194.55089509238965,0.7594237362189622,0.790872453346474,0.9585181474685669,-0.031742229672974354,0.8885465844575358,-22.108948230743408,-15.391677470321238,-2098.250510847235,0.4,51.627817153930664,0.748455673456192,54944.10546875,234.40159015832208,0.767088471813466,0.8087416004791256,0.9975982904434204,-0.0016273398315485835,0.8671006532517709,-20.6560879945755,-16.321376430344888,-48.658822667548954,,44.26422119140625
128,0.4,120,168,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7285402417182922,46485.26953125,215.60442836651106,0.6634333605560432,0.7009281220874503,0.9116171598434448,-0.06763125915662514,0.8734235875278487,-32.63724148273468,-19.982855013227443,-2083.851584992321,0.8,58.88498783111572,0.7469557523727417,55271.73046875,235.09940550488426,0.7403379307748662,0.7805632599138963,0.9529160857200623,-0.03190316093882921,0.8694051597085803,-23.014575242996216,-26.617649439994096,-1402.9625276494755,,46.31916880607605
256,0.4,90,336,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7621106803417206,40736.6015625,201.8331032375512,0.7356747211389456,0.7729009471635904,0.9356401562690735,-0.04924868660090293,0.8810391503026711,-22.823768854141235,-13.033264289731164,36.17681193522021,0.4,57.85263061523438,0.7443634569644928,55837.9609375,236.30057329067148,0.7639641335571619,0.8099417652373258,0.9635440707206726,-0.024701845903024076,0.8648639098290238,-17.546391487121582,-17.74002239955158,-1395.5154688078767,,47.70411550998688
